name,party,member_type,screen_name,date,post_type,likes_count,comments_count,shares_count,message
Ted Poe,Republican,rep,106631626049851,2017-01-03,link,121,15,6,Itâs great to be back in Washington for the start of the 115th Congress! Enjoyed seeing the Adams Family from Kingwood this morning.  Click below to watch the Swearing-In Ceremony and Floor Proceedings.
Ted Poe,Republican,rep,106631626049851,2017-01-03,link,182,16,31,"For years, Washington bureaucrats have repeatedly preached that the border is secure. The reality is that the majority of the southern border territory is controlled by someone other than the United States. Border patrol and local law enforcement do the best they can with the resources they currently have, but they need more help from the federal government."
Ted Poe,Republican,rep,106631626049851,2017-01-05,photo,137,13,25,"Today, I introduced H.R. 241, the Timely Repatriation Act of 2017, to restrict diplomatic visas to countries that deny or unreasonably delay the repatriation of a national ordered removed from the U.N.  The United States can no longer afford to give convicted foreign criminals a get-out-of-jail-free card. The safety of our own citizens is at stake. The issue is that we cannot permanently detain criminals and their countries of origin refuse to take them back. It is time we make them.  Read the entire release here: http://poe.house.gov/2017/1/poe-introduces-the-timely-repatriation-act-of-2017"
Ted Poe,Republican,rep,106631626049851,2017-01-05,link,1125,166,170,"""Being sworn in is always an honor and a privilege, but this year is even more special for me. I am happy to also announce today that I am in remission from Leukemia. My fight is not yet over, but the progress that has been made in the last six months has been nothing short of miraculous, thanks to the Good Lord, the experts at MD Anderson Cancer Center, and the support and prayers of my family, friends, colleagues, staff and all of you. Since remission does not mean âcancer freeâ, I will continue to receive treatment both in Washington and Houston.  After a challenging six months, I am grateful to be able to be here in Washington doing what I love to do: fight for Texas"""
Ted Poe,Republican,rep,106631626049851,2017-01-06,link,24,8,12,"TERRORISM UPDATE:  Â·ISIS fighters attacked an Iraqi army outpost and a police station near the city of Tikrit on Friday, killing at least four soldiers and wounding 12 others, military and police sources said. The terrorists used a car bomb and two suicide attackers in their assault shortly after midnight on the army outpost in the town of al-Dour on Tikrit's outskirts, killing two officers and two soldiers, the sources said. Gunmen separately attacked the police station a short distance away and set fire to the building before fleeing the area. There were no casualties from that attack.  Â·Bangladeshi police shot dead two Islamist terrorists on Friday in a gunfight in Dhaka, including a prime suspect in the killing of 20 hostages, mostly foreigners, in a cafe in the capital last year. Nurul Islam Marjan, a commander of a splinter group of the Jamaat-ul-Mujahideen Bangladesh (JMB), was killed along with another suspected terrorist, Saddam Hossain.  Â·Elite Iraqi troops bridged a river under the cover of darkness to seize a district of Mosul in an unprecedented night raid early on Friday, part of a new phase in the battle to capture the city from ISIS after weeks of slowed momentum. Since last week, Iraqi forces have launched a renewed push to seize ground in the nearly three month-old offensive to capture the city, after progress stalled last month because of a need to slow the advance to protect civilians.  Â·US-backed militias in Syria have captured an ancient citadel from ISIS in a strategically significant advance against the jihadist group in its stronghold of Raqqa province, a spokesman said on Friday. The Jabar citadel on the banks of Lake Assad was taken by the Syrian Democratic Forces alliance on Thursday, militia spokesman Talal Silo said. It is located near a dam on the Euphrates River that the US-backed alliance also aims to capture in the current phase of its campaign.  Â·The Department of Defense announced yesterday that multiple airstrikes killed an estimated 20 or more al Qaeda âmilitantsâ in northern Syria at the beginning of the month. The results of the bombings are still being âassessed,â but US forces âstruck two al Qaeda vehicles that had departed a large al Qaeda headquarters near Sarmada,â which is in the northern Idlib province, on January 1st. Then, on January 3rd, US forces âstruck the headquarters compound itself, including multiple vehicles and structures.â Although the Defense Department doesnât say it, the airstrikes were likely among the most significant carried out against al Qaeda facilities in Syria to date.  Â·The State Department announced on Thursday that Osama bin Ladenâs son, Hamza, has been added to the US governmentâs list of designated terrorists. State cites Hamzaâs appearances in al Qaedaâs propaganda since Aug. 2015 as evidence of his important role in the organization. The junior bin Laden has called for terror attacks throughout the West, including inside the US, and he also encouraged âSaudi Arabian-based tribes to unite withâ Al Qaeda in the Arabian Peninsula (AQAP) âto wage war against the Kingdom of Saudi Arabia.â Al Qaeda has released several messages from Hamza since mid-2015, but they have all been audio speeches. The terror organization has not published photos or video of Hamza as an adult, likely for security reasons.  Â·Two car bombs in Baghdad claimed by ISIS killed at least 14 people on Thursday, police and medics said, part of a surge in violence across the capital. The first blast shook Baghdad's eastern al-Obeidi area during the morning rush, killing six and wounding 15. The second explosion hit the central district of Bab al-Moadham near a security checkpoint, killing eight.  Â·The US has killed four mid-level ISIS commanders involved in military, suicide, chemical, and financial operations in airstrikes in both Iraq and Syria since the beginning of December 2016, the military announced over the past week."
Ted Poe,Republican,rep,106631626049851,2017-01-06,video,82,7,14,"The continued failure to protect the border threatens both the security of our people and the sovereignty of our nation. The SMART Border Act incorporates several common sense reforms that will ramp up support from the federal government and charge Congress, not unelected bureaucrats, with determining if and when operational control is achieved."
Ted Poe,Republican,rep,106631626049851,2017-01-09,photo,231,13,14,Burning the #BlueLight in my office tonight in honor of National #LawEnforcementAppreciationDay #BacktheBlue #SupportBlue
Ted Poe,Republican,rep,106631626049851,2017-01-13,link,49,10,8,"A must read in today's New York Times from two women who tragically lost family members in the Paris and Brussels attacks. They are exactly right, Twitter can and should do much more to combat ISIS propaganda. Terrorists should not be able to use an American platform to their advantage, period. Thank you for highlighting my committee's efforts on this issue. We will continue to stand with you and push this issue in Washington.   https://www.nytimes.com/2017/01/13/opinion/twitter-must-do-more-to-block-isis.html?_r=0"
Ted Poe,Republican,rep,106631626049851,2017-01-18,photo,106,10,2,Great meeting today with new Georgian Ambassador David Bakradze! I look forward to working together.
Ted Poe,Republican,rep,106631626049851,2017-01-18,photo,91,8,2,I enjoyed meeting with Sir Nigel Kim Darroch today and discussing what role Congress can play to strengthen the U.S. - UK  Relationship.
Ted Poe,Republican,rep,106631626049851,2017-01-19,photo,563,19,3,NA
Ted Poe,Republican,rep,106631626049851,2017-01-19,photo,239,10,14,Great meeting with students from my alma mater Abilene Christian University who are up in D.C. for the 58th Inauguration!
Ted Poe,Republican,rep,106631626049851,2017-01-24,link,219,22,28,"Congress must take action to support states that refuse to participate in the refugee resettlement program because of serious security concerns. The Obama Administrationâs open door policy has totally disregarded the wishes of state governors who have legitimate security concerns about letting unvetted refugees in their states. Although we expect vetting to increase in the new Administration, states should still have an opt out if the security of the program is not guaranteed. The reality is that ISIS has vowed to attack America, and we already know that several recent terror attacks in Europe were carried out by individuals who came in disguised as a Syrian refugee."
Ted Poe,Republican,rep,106631626049851,2017-01-24,video,262,23,47,Israel is our greatest friend and should never question where we stand. The Trump White House seems to understand that. Good riddance to those who did not understand it.
Ted Poe,Republican,rep,106631626049851,2017-01-25,link,52,9,10,The ADA is a vital law that is meant to make American businesses more accessible to the disabled. But the integrity of this important law is being threatened. This bill will change that by requiring that the business owners have time to fix what is allegedly broken.   Read More:
Ted Poe,Republican,rep,106631626049851,2017-01-26,photo,209,14,3,#TBT to my days in the DA office. âï¸
Ted Poe,Republican,rep,106631626049851,2017-01-26,video,240,14,68,"Our government must offer a proper incentive to uncooperative nations who freely take our money, and turn around and disrespect our laws.  We should not be issuing diplomatic VISAâs to nations that refuse to cooperate with our government. Keeping their criminals here is endangering our own citizens."
Ted Poe,Republican,rep,106631626049851,2017-01-26,photo,261,12,12,"Today I toured Courtney's House, a Human Trafficking shelter in D.C. Founded by Tina Frundt, a trafficking survivor herself, Courtneyâs House helps young victims of sex trafficking recover and re-build their lives. Staff survivors help these children find and recover their own voices. Shelters like this help victims to regain their lives, their dignity and, yes, their hope."
Ted Poe,Republican,rep,106631626049851,2017-01-27,link,24,5,6,"Â·Moroccan authorities said on Friday they had arrested seven suspected terrorists linked to ISIS and seized weapons and explosive belts. A statement from the interior ministry said the group had ties with commanders of the Sunni Islamist group in Syria, Iraq and Libya and had set up a hideout in the coastal town of El-Jadida. Morocco, a Western ally against Islamist terrorism, says that since 2002 it has dismantled more than 150 cells linked to jihadist groups fighting in Syria and Iraq.  Â·A former Indonesian finance ministry official has been detained on his return home after being deported from Turkey for trying to cross into Syria on suspicion of intending to join ISIS, Indonesian authorities said on Friday. Police identified the man as Triyono Utomo and said he was detained along with his wife and three children after they arrived back in the Indonesian island of Bali.  Â·On Thursday, just one day after executing a deadly suicide assault on a popular hotel in Somaliaâs capital Mogadishu, al Shabaab announced that its religious courts executed âthree spies.â One of the alleged spies was accused of working for the CIA to direct drone strikes on al Shabaab, al Qaedaâs branch in East Africa. Radio al Furqan, an al Shabaab radio station and media outlet, reported that the three spies were killed in the town of Yaaq Barawe in the Bay Region of southern Somalia.  Â·Forces from France's Operation Barkhane have arrested three people in connection with a suicide bombing in northern Mali that killed at least 77 people, Mali's Security Minister Salif Traore said on Thursday. Al Qaeda in the Islamic Maghreb said five of its fighters conducted the attack on Jan. 18 on a military camp in the town of Gao that also wounded more than 100 people.  Â·An upstate New York man was sentenced on Thursday to 20 years in prison after pleading guilty to conspiring to provide material support to ISIS, in connection with his alleged role in preparing a New Year's Eve attack in 2015 at a local club or bar. Emanuel Lutchman, 26, of Rochester, was sentenced by Chief Judge Frank Geraci of the federal court in that city, following his August 11 guilty plea, the U.S. Department of Justice said. The prison term was the maximum possible, and Lutchman was also sentenced to 50 years of supervised release.  Â·A debate is under way in the Trump administration about whether the United States should declare the Muslim Brotherhood a terrorist organization and subject it to U.S. sanctions, according to U.S. officials and people close to President Donald Trump's transition team. A faction led by Michael Flynn, Trump's National Security Advisor, wants to add the Brotherhood to the State Department and U.S. Treasury lists of foreign terrorist organizations, the sources said. Other Trump advisors, as well as some veteran national security, diplomatic, law enforcement and intelligence officials argue the Brotherhood has evolved peacefully in some countries."
Ted Poe,Republican,rep,106631626049851,2017-01-27,link,30,21,4,"The whole purpose of the bill, if there's a problem with the ADA at this particular business, is to fix the problem! But the trolls don't care about fixing the problem, they care about getting the money, which really doesn't even fix the problem!"
Ted Poe,Republican,rep,106631626049851,2017-01-31,photo,70,2,2,Enjoyed meeting with Crosby ISD yesterday!
Ted Poe,Republican,rep,106631626049851,2017-01-31,video,248,19,53,"As a Judge, I learned the last thing criminals want are their faces and crimes exposed to the public. The Shame Act allows Federal judges to publicly publish the names and photographs of convicted traffickers and buyers.  Polaris Shared Hope International National Organization for Victim Assistance Children's Advocacy Centers of Texas, Inc. Texas CASA, Inc. Stop Child Predators Family Focused Treatment Association - FFTA"
Ted Poe,Republican,rep,106631626049851,2017-02-01,photo,104,5,1,"Great meeting with Kaitlyn from Kingwood. Kaitlyn is an Archer fellow from the The University of Texas at Dallas spending the semester studying in Washington, D.C."
Ted Poe,Republican,rep,106631626049851,2017-02-02,video,290,44,158,"In 1984, a novel program was started under the Reagan administration called VOCA, Victims of Crime Act; and the idea was pretty simple: Criminals in the Federal courts that are convicted pay into a court cost fund. That money then is used for victims and helps pay for their injuries, for their medical expenses, sometimes the funeral expenses. A great idea: Make criminals pay for the system they have created. But now, the fund is being robbed by bureaucrats and thrown into the abyss of the Federal budget. This money does not belong to the Federal Government. It is not taxpayer money. It is money that belongs to victims. H.R. 818 ensures VOCA funds can only be used for their original intent: helping victims of crime."
Ted Poe,Republican,rep,106631626049851,2017-02-03,link,43,43,20,"TERRORISM UPDATE:  Â· A French soldier shot and wounded a man armed with a machete and carrying two bags on his back on Friday as he tried to enter the Paris Louvre museum in what the government said appeared to have been a terrorist attack. The man shouted Allahu Akbar (God is greatest) and rushed at police and soldiers before being shot near the museum's shopping mall, police said, adding a second person had also been detained after acting suspiciously. The attacker was alive but seriously wounded, the head of Paris police Michel Cadot told reporters at the scene, adding the bags he had been carrying contained no explosives.  Â· Warships shelled suspected al Qaeda strongholds in a mountainous region of southern Yemen on Thursday, government officials said. The officials said they believed U.S. forces carried out the operation, though Pentagon spokesman Captain Jeff Davis quickly denied any U.S. involvement. The strikes come less than a week after a covert U.S. Navy SEAL raid, also in Yemen's south, the first ordered by U.S. President Donald Trump as commander in chief.  Â· The U.N. envoy for Iraq says military operations to liberate Iraq from the Islamic State extremist group will be coming to an end ""in the rather short foreseeable future."" Jan Kubis told the U.N. Security Council Thursday that ""the days of the so-called ISIL are counted."" He said progress and the government's successful campaign to retake the eastern part of Mosul ""should not conceal that fighting has been and will be a massive challenge, in particular inside the old city in western Mosul.""  Â· U.S. President Donald Trump is poised to impose new sanctions on multiple Iranian entities, seeking to ratchet up pressure on Tehran while crafting a broader strategy to counter what he sees as its destabilizing behavior, people familiar with the matter said on Thursday. The new sanctions, which are being taken under existing executive orders covering terrorism and weapons of mass destruction, may mark the opening shot in a more aggressive policy against Iran that Trump promised during the 2016 presidential campaign.  Â· Faced with a diminishing number of fighters, ISIS is relying on retrofitted commercial drones to guide suicide car bombers to their targets and to launch small-scale airstrikes on Iraqi forces. The extremist group is spending freely on drone technology as it faces pressure from coalition forces, hacking store-bought machines, applying rigorous testing protocols and mimicking tactics used by U.S. unmanned aircraft. In all, a half-dozen storehouses ISIS used to make and modify drones have been found recently in Mosul, Iraqi military officials said.  Â· Jamaat-ul-Ahrar, a powerful faction of the Movement of the Taliban in Pakistan (TTP), has released a video detailing a training camp somewhere in Pakistanâs northwest tribal frontier. The video also highlighted the training of suicide bombers and an assault on a Pakistani military base that took place last November."
Ted Poe,Republican,rep,106631626049851,2017-02-06,video,83,44,16,Speaking at the 2nd Annual Human Trafficking Symposium
Ted Poe,Republican,rep,106631626049851,2017-02-09,link,92,13,12,"I will personally stay on top of social media companies like Telegram who continue to allow terrorists to use and abuse their platform. In December, I sent a letter to Telegram App, urging the company to follow the lead of other social media platforms. I have not received a response and it will not be the last time they hear from me.  Read more below:"
