query,word,cosine_similarity
cat,dog,0.9218005273769251
cat,rabbit,0.8487821210209758
cat,monkey,0.8041081637244415
cat,rat,0.7891963941176757
cat,cats,0.7865270131794433
president,vice,0.8557188412810596
president,met,0.8169846016151278
president,secretary,0.8095138522551203
president,presidency,0.7797858579210678
president,chairman,0.7695391302216688
piano,violin,0.9283770742447531
piano,cello,0.9169541163279814
piano,flute,0.8456679627149565
piano,concerto,0.8428612533242149
piano,guitar,0.8323097680392166
